,zipcode,pct_bachelors,labor_part_rate,pct_welfare,low_pov_idx,labor_idx,env_health_idx,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,housing_cost,transportation_cost,pub_school_score,pr_school_score,rest_score,rest_proximity,crime_index,scores,score
0,94102,40.4759994167,74.5037946667,4.11151985,38.5,56.1666666667,8.66666666667,18.5333333333,43.9,8.66666666667,0.35,23.1166666667,0.3,0.466666666667,4.61666666667,25.91754,7.492765,72.3274408126,68.9301563064,90.492839755,65.7213563,71.2259473183,8.36318275971,-0.0633241523297
1,94103,41.8266648,74.3715237833,3.55560655,27.5,57.1666666667,4.33333333333,22.8166666667,41.6,10.4166666667,0.433333333333,21.4,0.566666666667,0.333333333333,2.4,31.3660366667,8.94931,47.7624486802,44.9561601821,90.7226766583,57.47485094,58.448621665,7.41329227037,-1.05569744297
2,94105,71.679142,77.6437522,0.9480401,35.0,93.0,0.0,7.3,54.7,5.6,0.7,28.4,0.5,0.0,2.7,36.63323,9.20022,8.65709382106,2.01625667112,91.18679387,69.95152426,20.02828519,8.03001687067,-0.199609164806
3,94107,71.8614371667,89.2198313,1.9723866,61.3333333333,92.3333333333,4.33333333333,12.7666666667,63.4333333333,5.83333333333,1.06666666667,11.6666666667,0.966666666667,0.266666666667,3.93333333333,31.3337133333,10.46496,66.9511473168,18.606534976,91.2798628367,17.84720835,13.73920271,7.78065614071,-0.296559522369
4,94108,31.4951707,83.0510531,1.03083235,31.5,56.5,7.5,10.45,26.05,1.15,0.0,60.45,0.6,0.4,0.9,25.799385,7.321925,78.659802633,41.0142675986,90.693214315,98.422314895,60.274400945,9.79303069133,1.04413035595
5,94109,45.9721784,79.89428215,2.8454518875,40.75,65.0,9.5,10.7125,44.0375,5.8125,1.125,34.575,0.0,0.425,3.3125,30.2247775,7.14890125,83.4003719234,54.7691102415,90.4821335013,79.6530133988,64.7710073737,8.08826378221,-0.34040152691
6,94110,51.0484477067,86.4411304067,2.02446707333,56.6666666667,85.9333333333,6.46666666667,33.3533333333,43.78,2.60666666667,0.113333333333,17.2266666667,0.333333333333,0.206666666667,2.4,29.6150953333,10.0288813333,74.0958825156,40.658674494,90.9883211153,26.40324053,24.1673182167,9.11815232111,0.683060153743
7,94111,81.8013857,81.0387985,0.0,72.0,97.0,6.0,5.7,76.0,0.5,0.0,13.1,0.0,1.9,3.0,37.26268,9.37447,31.8358348095,6.70243554575,90.87339832,61.75278536,12.41342962,7.78124704325,-0.0968088931242
8,94112,30.931524225,83.494680275,2.82806565625,64.8125,58.0625,14.125,28.8,20.2125,4.8875,0.21875,43.55625,0.525,0.18125,1.6125,28.87269875,12.150388125,40.7224765348,28.6847587738,90.8440427713,5.71037027194,7.49196017656,8.64650794049,-0.205742771832
9,94114,66.8138427125,88.00946475,1.06838455,71.75,91.375,10.875,14.775,70.425,2.1375,0.125,9.5,0.0625,0.2875,2.7,31.68012375,10.1231625,68.3135357048,41.5929312102,90.4671636437,20.69174724,16.9447978709,7.99296797931,0.0329329764816
10,94115,57.0091845615,79.6520493462,3.13329968462,54.3076923077,72.3846153846,8.92307692308,8.14615384615,50.7153846154,11.9615384615,0.176923076923,26.3076923077,0.0615384615385,0.269230769231,2.36153846154,32.7186184615,8.64796846154,80.597964866,71.6773497863,90.2985609508,48.29820805,34.5961068908,8.26162153775,-0.0481560685113
