Knowledge Base Article Title	16-Mar	16-Feb	16-Jan	15-Dec	15-Nov	15-Oct	15-Sep	15-Aug	15-Jul	15-Jun	15-May	15-Apr	15-Mar	15-Feb	15-Jan	14-Dec	14-Nov	14-Oct	14-Sep	14-Aug	14-Jul	14-Jun	14-May	14-Apr	14-Mar	14-Feb	14-Jan	13-Dec	13-Nov	13-Oct	13-Sep	13-Aug	13-Jul	13-Jun	13-May	13-Apr	13-Mar	13-Feb	13-Jan	12-Dec	12-Nov	12-Oct	12-Sep	12-Aug	12-Jul	Total
Birth Certificates - All Matters	1252	1109	1013	781	604	657	760	714	749	780	681	666	824	750	882	593	661	813	748	850	834	781	745	843	943	821	886	722	671	835	810	880	944	863	971	1011	1022	1023	1018	590	663	665	749	875	94	36146
Property Tax Payment History - Current and/or Previous (Past) Years Payments	1015	646	551	1927	1643	1933	605	760	907	1030	714	1787	1343	881	1237	2346	2036	2485	816	873	1070	1523	1032	1775	1206	638	352	1023	648	563	61	56	268	330	210	434	133	24	15	8	1	6	0	0	0	36911
Marriage All Matters	964	844	784	643	303	239	364	308	356	404	300	395	405	291	414	333	366	417	467	403	434	415	411	516	457	400	466	420	448	523	543	536	786	500	364	361	398	227	278	165	178	243	210	251	42	18572
Police Reports - Teleserve	791	776	785	720	571	579	719	608	447	549	598	536	633	495	538	631	638	615	574	763	616	587	573	567	566	456	537	529	517	583	646	567	596	569	495	584	526	485	543	482	546	584	649	591	69	26029
SF Homeless Outreach Team (HOT) Engagement Specialist Team (EST)	756	551	520	397	409	328	345	329	272	281	344	399	350	330	422	390	278	330	316	273	240	275	206	255	258	195	169	179	105	102	81	64	12	12	18	17	16	27	31	39	28	28	22	32	7	10038
TTX: Gross Receipt/Payroll Tax  Annual - All Matters 	736	1784	694	500	547	1285	372	607	1581	855	1853	3476	2414	5383	1116	357	274	1141	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25020
Haven't Received/Status Of - Business Registration Certificate/License	678	561	769	782	769	838	886	1290	1567	784	1284	1132	922	1004	286	194	237	307	337	253	372	106	68	83	94	121	24	12	14	26	16	15	15	18	35	52	64	115	142	164	91	0	0	0	0	16527
Residential Parking Permits - Eligibility	628	555	565	413	458	514	679	746	455	503	401	384	488	343	453	359	346	448	434	445	337	311	243	250	69	124	144	67	138	204	206	273	285	236	227	284	245	204	225	149	168	157	87	106	7	14363
"City Employee Phone Book Directory, Employee Locator, Employment Verification"	518	498	507	509	476	531	555	454	429	419	425	501	508	451	484	463	452	605	498	481	474	523	468	459	517	420	537	370	394	436	412	462	466	420	475	510	530	485	550	374	450	394	311	340	32	20573
Treasurer and Tax Collector: Passport Appointment Services	499	307	346	218	261	290	303	293	278	349	305	343	442	327	373	237	278	264	247	251	260	284	305	330	396	320	347	251	203	219	235	225	299	250	310	328	280	199	143	93	92	71	0	0	0	11651
Treasurer and Tax Collector: Business License/Address Look-Up	474	575	701	643	603	659	779	714	871	1096	1177	818	825	1001	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10946
Passport - All Matters	314	203	185	112	152	162	145	157	167	226	180	258	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2477
Homeless - All Matters	300	208	258	185	231	251	245	222	195	212	206	221	179	175	168	188	187	183	161	173	154	162	138	158	244	224	144	147	131	139	142	126	168	152	121	117	97	0	0	19	132	91	117	98	5	7174
HA Rep Use ONLY - 400278	234	132	200	269	296	265	266	303	259	268	236	259	285	273	333	399	383	359	330	317	294	293	331	323	314	337	441	380	295	372	387	374	344	376	321	263	249	223	288	214	237	235	228	222	42	13049
Business Registration Renewal – All Matters	233	140	182	338	353	701	963	1109	1689	3137	3943	236	143	156	42	45	34	85	71	94	238	885	1326	0	167	294	184	55	72	78	54	183	580	582	3122	476	0	0	0	0	0	0	0	0	0	21990
SF City ID Card Appointments	233	218	213	186	147	206	233	272	241	261	247	254	377	307	421	318	319	269	290	278	283	296	236	292	301	322	304	234	247	280	297	317	323	293	291	347	340	338	352	194	289	239	223	297	70	12295
Parking Citation - Fine Amounts - Pay a Citation	231	178	164	211	150	147	141	142	178	165	185	147	139	149	124	116	95	123	112	137	63	35	60	67	83	43	51	28	25	21	18	29	11	18	17	12	14	10	9	12	11	7	11	3	2	3694
Change or Update Business Account Information	217	185	224	201	271	375	249	357	358	369	510	202	141	189	86	49	49	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4045
Assessor Recorder: Secured Property Tax	206	122	102	141	217	368	88	92	113	68	68	76	84	94	66	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1939
Noise Complaints	196	180	160	150	245	498	788	219	145	117	131	153	153	131	106	110	119	169	131	160	128	96	128	123	132	95	102	109	108	130	127	140	115	129	100	91	103	66	64	34	80	98	79	74	9	6521
Regulatory License All Matter Page	196	35	40	29	29	76	83	99	73	141	138	207	184	20	18	10	23	20	17	40	45	22	31	49	32	10	5	4	5	5	13	7	9	11	16	20	21	3	7	4	2	2	0	0	0	1801
"Parking Tickets - Violation, Citation - Fees"	191	166	227	205	220	234	220	189	145	128	117	128	114	104	97	91	77	137	91	92	44	37	25	62	42	39	45	36	21	38	41	21	37	46	40	26	26	28	28	10	24	43	35	35	7	3809
Property Tax: Secured Supplemental Property Tax	172	76	95	151	172	268	112	69	71	185	92	105	119	82	42	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1840
Service Requests for Foreign Jurisdictions - 400240	168	167	179	141	137	189	196	171	172	144	252	271	279	272	248	225	238	266	243	222	193	249	224	225	258	203	239	176	181	237	199	171	169	173	285	245	289	145	178	116	117	122	87	124	13	8798
Fictitious Business Name Registration (FBN) - Status Lookup	167	95	91	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475
Color Curb Program - General Information	160	144	104	91	111	90	113	111	103	77	101	97	135	77	107	68	93	90	87	89	65	70	63	66	78	70	79	69	52	93	76	85	73	88	72	91	88	29	33	27	27	42	30	35	8	3557
