tract,hh_type1_h,hh_type1_t
6001400100,31.95903,15.32843
6001400200,30.1033,13.13101
6001400300,28.91199,11.75008
6001400400,27.41638,11.74643
6001400500,29.56183,11.4449
6001400600,26.57004,11.47901
6001400700,28.30261,11.16217
6001400800,28.32228,11.01747
6001400900,28.50776,11.41507
6001401000,27.33352,11.2675
6001401100,26.77656,10.4247
6001401200,28.41466,11.31685
6001401300,26.48143,9.37899
6001401400,22.85873,10.15219
6001401500,26.59132,10.98628
6001401600,28.24936,11.10408
6001401700,25.93037,11.98002
6001401800,27.64723,11.0433
6001402200,28.55528,10.72113
6001402400,25.28528,9.804
6001402500,20.90601,10.6497
6001402600,20.84942,9.48593
6001402700,26.35132,10.1856
6001402800,21.65593,8.29713
6001402900,17.60302,9.02566
6001403000,24.18905,8.86424
6001403100,24.66845,10.02329
6001403300,23.89449,9.75742
6001403400,25.00311,8.31071
6001403501,24.68387,9.23712
6001403502,29.84137,9.45508
6001403600,28.95731,9.43505
6001403701,27.99952,8.305
6001403702,27.48397,9.10295
6001403800,30.98949,11.09352
6001403900,26.9067,10.32607
6001404000,29.07475,9.74763
6001404101,26.04947,10.7184
6001404102,29.98425,9.60704
6001404200,34.70501,14.70196
6001404300,35.71332,14.41837
6001404400,32.24346,15.22084
6001404501,40.62812,15.53554
6001404502,33.7016,15.41734
6001404600,32.94854,15.93773
6001404700,33.32786,15.79538
6001404800,29.21668,12.7147
6001404900,29.25398,12.65667
6001405000,31.73849,13.37347
6001405100,36.76046,14.72048
6001405200,31.08441,10.78227
6001405301,28.32172,9.31174
6001405302,19.13434,8.23776
6001405401,22.56687,9.42476
6001405402,26.17059,9.76247
6001405500,25.0899,10.54718
6001405600,24.97478,10.78917
6001405700,23.18771,11.28667
6001405800,27.98441,11.78856
6001405901,25.18731,10.58627
6001405902,25.73451,11.00458
6001406000,26.63531,9.88195
6001406100,25.62162,11.70065
6001406201,26.48846,10.83605
6001406202,21.42959,10.30745
6001406300,25.16103,11.99292
6001406400,26.18447,12.60027
6001406500,28.16204,11.91416
6001406601,27.56189,11.92885
6001406602,28.01614,12.08367
6001406700,29.78675,13.88468
6001406800,29.45884,13.38278
6001406900,29.27216,13.21407
6001407000,27.18043,12.28124
6001407101,27.72652,11.37277
6001407102,26.125,12.95916
6001407200,23.9928,11.03269
6001407300,28.87809,13.00917
6001407400,23.64926,11.42054
6001407500,24.30174,11.50381
6001407600,27.34931,13.0045
6001407700,28.25797,13.71773
6001407800,29.65951,14.24151
6001407900,29.14142,14.40941
6001408000,31.80943,15.6387
6001408100,31.27448,15.61459
6001408200,26.97399,13.05538
6001408300,29.02738,14.07328
6001408400,25.8614,12.74548
6001408500,26.09713,12.62999
6001408600,26.73313,13.10394
6001408700,26.24637,12.62649
6001408800,24.79362,11.88606
6001408900,26.31646,12.19788
6001409000,28.88508,14.1436
6001409100,27.12763,13.53042
6001409200,27.66877,13.5234
6001409300,26.14788,12.28153
6001409400,24.73856,12.74508
6001409500,28.14688,12.46062
6001409600,24.82511,12.38457
6001409700,27.96535,12.50414
6001409800,29.61238,14.31639
6001409900,30.10845,15.67491
6001410000,31.46065,16.09788
6001410100,27.88935,13.63142
6001410200,26.67751,12.68472
6001410300,28.16583,12.38357
6001410400,29.51456,13.30903
6001410500,19.46135,10.52433
6001420100,28.3616,13.62123
6001420200,26.59136,11.92869
6001420300,29.3844,12.65813
6001420400,27.11424,11.48715
6001420500,27.61545,12.19808
6001420600,28.63693,13.43718
6001421100,31.68939,15.05231
6001421200,33.51876,14.92915
6001421300,30.551,13.67132
6001421400,33.20303,14.25148
6001421500,31.20453,14.57088
6001421600,32.50733,14.01769
6001421700,27.46916,11.3433
6001421800,29.10506,12.98502
6001421900,27.90852,12.48484
6001422000,26.10465,12.64049
6001422100,27.63211,11.65349
6001422200,26.38147,11.26248
