tractid,lep_Spanish,lep_French,lep_French_creole,lep_Italian,lep_Portuguese,lep_German,lep_Yiddish,lep_O_westGermanic,lep_Scandinavian,lep_Greek,lep_Russian,lep_Polish,lep_SerboCroatian,lep_O_Slavic,lep_Armenian,lep_Persian,lep_Gujarati,lep_Hindi,lep_Urdu,lep_O_Indic,lep_O_Indo,lep_Chinese,lep_Japanese,lep_Korean,lep_Cambodian,lep_Hmong,lep_Thai,lep_Laotian,lep_Vietnamese,lep_O_Asian,lep_Tagalog,lep_O_Pacific,lep_Navajo,lep_O_NorthAmerican,lep_Hungarian,lep_Arabic,lep_Hebrew,lep_Africanlang,lep_O_Unspecified,POB_UK_exclu_EnglandScotland,POB_England,POB_Scotland,POB_Ireland,POB_Denmark,POB_Norway,POB_Sweden,POB_Other_Northern_Europe,POB_Austria,POB_Belgium,POB_France,POB_Germany,POB_Netherlands,POB_Switzerland,POB_Other_Western_Europe,POB_Greece,POB_Italy,POB_Portugal,POB_Spain,POB_Other_Southern_Europe,POB_Albania,POB_Belarus,POB_Bulgaria,POB_Croatia,POB_Czechoslovakia,POB_Hungary,POB_Latvia,POB_Lithuania,POB_Macedonia,POB_Moldova,POB_Poland,POB_Romania,POB_Russia,POB_Ukraine,POB_Bosnia_and_Herzegovina,POB_Yugoslavia,POB_Serbia,POB_Other_Eastern_Europe,POB_China_exclu_HK_Taiwan,POB_HongKong,POB_Taiwan,POB_Japan,POB_Korea,POB_Other_Eastern_Asia,POB_Afghanistan,POB_Bangladesh,POB_India,POB_Iran,POB_Kazakhstan,POB_Nepal,POB_Pakistan,POB_Sri_Lanka,POB_Uzbekistan,POB_Other_South_Central_Asia,POB_Cambodia,POB_Indonesia,POB_Laos,POB_Malaysia,POB_Burma,POB_Philippines,POB_Singapore,POB_Thailand,POB_Vietnam,POB_Other_South_Eastern_Asia,POB_Iraq,POB_Israel,POB_Jordan,POB_Kuwait,POB_Lebanon,POB_Saudi_Arabia,POB_Syria,POB_Yemen,POB_Turkey,POB_Armenia,POB_Other_Western_Asia,POB_Eritrea,POB_Ethiopia,POB_Kenya,POB_Other_Eastern_Africa,POB_Cameroon,POB_Other_Middle_Africa,POB_Egypt,POB_Morocco,POB_Sudan,POB_Other_Northern_Africa,POB_South_Africa,POB_Other_Southern_Africa,POB_Cape_Verde,POB_Ghana,POB_Liberia,POB_Nigeria,POB_Sierra_Leone,POB_Other_Western_Africa,POB_Australia,POB_other_AusNewzealand_sub,POB_Fiji,POB_Bahamas,POB_Barbados,POB_Cuba,POB_Dominica,POB_Dominican_Republic,POB_Grenada,POB_Haiti,POB_Jamaica,POB_StVincent_grenadines,POB_Trinidad_and_Tobago,POB_West_Indies,POB_Other_Caribbean,POB_Mexico,POB_Belize,POB_Costa_Rica,POB_El_Salvador,POB_Guatemala,POB_Honduras,POB_Nicaragua,POB_Panama,POB_Other_Central_America,POB_Argentina,POB_Bolivia,POB_Brazil,POB_Chile,POB_Colombia,POB_Ecuador,POB_Guyana,POB_Peru,POB_Uruguay,POB_Venezuela,POB_Other_South_America,POB_Canada,POB_Other_Northern_America,pct_ba,pct_poor_ns,lbrfrc_rate,runemply,pct_welfare,pov_idx,lbr_idx,haz_idx,tcost_idx,trans_idx,hh_tot_1_m_hus_pb,hh_white_1_m_hus_pb,hh_black_1_m_hus_pb,hh_amer_ind_1_m_hus_pb,hh_ai_pi_1_m_hus_pb,hh_hisp_1_m_hus_pb,hh_othr_race_1_m_hus_pb,hh_tot_husholds,hh_white_all,hh_black_all,hh_ai_pi_all,hh_amer_ind_all,hh_hisp_all,hh_othr_race_all,hh_tot_1_m_sv_hus_pb,hh_white_1_m_hus_pb_sv,hh_black_1_m_hus_pb_sv,hh_amer_ind_1_m_hus_pb_sv,hh_ai_pi_1_m_hus_pb_sv,hh_hisp_1_m_hus_pb_sv,hh_othr_race_1_m_hus_pb_sv,hh_hhsize_lt5_fam_1_m_pb,hh_hhsize_5m_fam_1_m_pb,hh_not_fam_1_m_pb,hh_hhsize_lt5_fam_tot,hh_hhsize_5m_fam_tot,hh_not_fam_tot,hh_white_severe_burden,hh_black_severe_burden,hh_hisp_severe_burden,hh_other_severe_burden,hh_ai_severe_burden,hh_ai_pi_severe_burden,hh_all_severe_burden,hh_size_lt5_fam_sev_burden,hh_not_fam_sev_burden,hh_size_5more_fam_sev_burden,hh_perc_1_m_hus_pb,hh_perc_white_1_m_hus_pb,hh_perc_black_1_m_hus_pb,hh_perc_ai_pi_1_m_hus_pb,hh_perc_amer_ind_1_m_hus_pb,hh_perc_hisp_1_m_hus_pb,hh_perc_othr_race_1_m_hus_pb,hh_perc_1_m_sv_hus_pb,hh_perc_white_1_m_hus_pb_sv,hh_perc_black_1_m_hus_pb_sv,hh_perc_ai_pi_1_m_hus_pb_sv,hh_perc_amer_ind_1_m_hus_pb_sv,hh_perc_hisp_1_m_hus_pb_sv,hh_perc_o_race_1_m_hus_pb_sv,hh_perc_hhsize_lt5_fam_1_m_pb,hh_perc_hhsize_5m_fam_1_m_pb,hh_perc_not_fam_1_m_pb,hh_perc_all_sev_burden,hh_perc_white_severe_burden,hh_perc_black_severe_burden,hh_perc_ai_pi_severe_burden,hh_perc_ai_severe_burden,hh_perc_hisp_severe_burden,hh_perc_other_severe_burden,hh_perc_hh_lt5_fam_sev_burden,hh_perc_hh_5more_fam_sev_burden,hh_perc_not_fam_sev_burden,Pop_with_disability_5_17,Pop_disability_18_64,Pop_Disability_over64,Total_Hear,Total_Vision,Total_Cognitive,Total_Ambulatory,Total_Self_Care,Total_Indep_Living,perc_disabled_age_5_17,perc_disabled_age_18_64,perc_disabled_age_over64,perc_Total_Hear,perc_Total_Vision,perc_Total_Cognitive,perc_Total_Ambulatory,perc_Total_Self_Care,perc_Total_Indep_Living,white_2000,black_2000,native_2000,asian_pi_2000,hisp_2000,white_1990,black_1990,native_1990,asian_pi_1990,hisp_1990,Male_2000,Female_2000,age_under18_2000,age_18_64_2000,age_over64_2000,Male_1990,Female_1990,age_under18_1990,age_18_64_1990,age_over64_1990,Fam_w_Children_2000,Fam_w_Children_1990,perc_white_2000,perc_black_2000,perc_native_2000,perc_asian_pi_2000,perc_hispanic_2000,perc_male_2000,perc_female_2000,perc_age_under18_2000,perc_age_18_64_2000,perc_age_over64_2000,perc_white_1990,perc_black_1990,perc_native_1990,perc_asian_pi_1990,perc_hispanic_1990,perc_male_1990,perc_female_1990,perc_age_under18_1990,perc_age_18_64_1990,perc_age_over64_1990,pct_Fam_w_Children_2000,pct_Fam_w_Children_1990,RCAP_10,RCAP_00,RCAP_90,pct_no_2010,pct_lep_2010,pct_no_2000,pct_lep_2000,pct_no_1990,pct_lep_1990,num_no_2010,num_lep_2010,num_no_2000,num_lep_2000,num_no_1990,num_lep_1990,USPS,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                  ,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,hh_type1_h,hh_type1_t
6075010100,56,0,0,11,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,515,27,71,9,0,26,0,20,0,51,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,35,0,14,0,0,13,0,0,0,0,0,0,0,15,0,0,55,12,0,0,0,0,437,34,23,53,115,0,0,0,86,11,12,0,0,0,0,0,17,0,0,0,0,63,0,48,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,0,25,42,0,0,0,0,0,0,0,0,18,0,0,0,0,23,0,0,13,0,0,0,0,0,0,0,0,0,24,0,0,14,0,0,0,54,0,0.555555556,0.163194444,0.821470704,0.061270125,0.031064413,30,85,9,99,96,1095,455,120,0,310,145,55,2205,885,130,870,0,230,85,590,245,85,0,140,75,40,200,70,820,555,70,1570,200,60,25,0,0,75,360,4,335,10,49.65986395,51.41242938,92.30769231,35.63218391,,63.04347826,64.70588235,26.75736962,27.68361582,65.38461539,16.09195402,,32.60869565,47.05882353,36.03603604,100,52.22929936,16.32653061,22.59887006,46.15384615,8.620689655,,10.86956522,0,0.720720721,14.28571429,21.33757962,30,209,372,190,114,320,330,201,365,0.846023689,5.893965031,10.49069374,5.358150028,3.214890017,9.024252679,9.306260575,5.668358714,10.29328821,1657,166,8,796,209,1481,288,5,819,245,1461,1418,240,2079,560,1413,1504,463,2033,421,121,254,57.5547065,5.765890934,0.277874262,27.64848906,7.259465092,50.74678708,49.25321292,8.336227857,72.21257381,19.45119833,52.09285966,10.13014421,0.175870559,28.80759761,8.617657404,48.44017827,51.55982174,15.87247172,69.69489201,14.43263627,24.39516129,43.27086883,0,0,0,40.86654186,23.18801819,34.31747134,17.54081278,36.44154954,29.34521769,1528,867,988,505,1063,856,CA,3739,2267,776482,646925,0.3,0.25,37.8084198,-122.4085794,6.3,43.4,14,0,34.1,0.7,0,1.5,31.94666,8.74157
6075010200,59,0,0,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,51,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,11,0,77,0,0,24,12,16,0,0,32,0,0,0,13,26,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,23,0,13,13,0,0,0,56,0,0,0,0,0,0,0,0,0,0,17,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0.779701652,0.042543021,0.878312413,0.054775281,0.005076142,80,98,6,99,97,985,765,0,0,160,60,0,2655,2095,45,264,0,235,15,500,425,0,0,35,50,0,265,25,700,715,25,1920,405,0,50,0,0,30,485,170,305,25,37.09981168,36.51551313,0,60.60606061,,25.53191489,0,18.83239171,20.28639618,0,13.25757576,,21.27659575,0,37.06293706,100,36.45833333,18.26741996,19.33174224,0,11.36363636,,21.27659575,0,23.77622378,100,15.88541667,0,10,159,31,23,56,79,60,120,0,0.258598397,4.111714507,0.80165503,0.594776312,1.448151022,2.042927334,1.55159038,3.10318076,3587,43,8,454,162,3588,42,4,383,148,2006,2282,216,3370,702,1832,2265,156,3039,902,142,97,83.65205224,1.002798508,0.186567164,10.58768657,3.777985075,46.78171642,53.21828358,5.037313433,78.59141791,16.37126866,86.00191755,1.006711409,0.095877277,9.180249281,3.547459252,44.71564559,55.28435441,3.807664145,74.17622651,22.01610935,18.34625323,11.82926829,0,0,0,15.73738837,3.837798697,12.43003731,3.544776119,15.54796192,5.760312424,652,159,533,152,637,236,CA,4143,2969,515572,295388,0.199,0.114,37.8058607,-122.4229252,11.5,76.3,1,0,9.2,0,0,2,34.50678,9.07783
6075010300,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,0,0,0,0,33,0,30,61,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,48,0,0,35,0,0,0,29,59,0,0,0,0,0,0,0,0,0,0,0,20,0,0,211,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,32,0,0,0,0.592803598,0.136756126,0.801427644,0.092908608,0.007598784,37,78,8,99,97,745,425,0,0,285,40,10,1950,1385,15,474,0,70,10,520,245,0,0,230,40,10,190,55,505,645,90,1220,230,0,40,10,0,165,445,45,340,45,38.20512821,30.68592058,0,60.12658228,,57.14285714,100,26.66666667,17.68953069,0,48.52320675,,57.14285714,100,29.45736434,61.11111111,41.39344262,22.82051282,16.6064982,0,34.81012658,,57.14285714,100,6.976744186,50,27.86885246,0,132,295,118,63,88,221,130,209,0,3.133159269,7.002136245,2.800854498,1.495371469,2.088772846,5.24566817,3.085687159,4.960835509,2375,33,22,1496,140,2244,32,3,1781,149,1945,2147,421,2909,762,1961,2258,448,3034,737,212,272,58.0400782,0.806451613,0.537634409,36.55913979,3.421309873,47.53176931,52.46823069,10.28836755,71.08993157,18.62170088,53.18795923,0.758473572,0.071106897,42.21379474,3.531642569,46.48020858,53.51979142,10.61863001,71.91277554,17.46859445,26.83544304,29.89010989,0,0,0,29.10176532,22.50778816,34.31085044,25.92864125,35.83787627,27.89760607,1121,867,1404,1061,1512,1177,CA,3852,2341,268266,0,0.104,0,37.8016201,-122.4156811,5.6,55.9,2.2,0,33.7,0,0,2.6,36.98725,8.89138
6075010400,13,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,38,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,51,0,69,21,0,0,0,11,0,0,11,0,0,0,0,0,57,0,0,0,0,0,0,0,11,12,0,0,0,0,0,18,0,0,0,0,0,0,371,75,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,78,0,12,0,0,0,0,0,0,0,0,0,36,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17,0,12,0,0,0,0,0,0,0,15,12,0,0.69550355,0.044776119,0.882547014,0.06463621,0.010118044,78,96,7,99,97,895,640,0,0,129,65,55,2480,1765,0,428,0,195,80,470,285,0,0,68,65,55,175,0,720,780,30,1670,285,0,65,55,0,60,465,95,375,0,36.08870968,36.26062323,,30.14018692,,33.33333333,68.75,18.9516129,16.14730878,,15.88785047,,33.33333333,68.75,22.43589744,0,43.11377246,18.75,16.14730878,,14.01869159,,33.33333333,68.75,12.17948718,0,22.45508982,0,116,269,135,113,191,263,166,258,0,2.538293217,5.886214442,2.95404814,2.472647702,4.179431072,5.754923414,3.63238512,5.645514223,3054,39,17,1564,166,2681,30,5,1690,151,2511,2348,486,3646,727,2365,2206,480,3433,658,248,257,62.85243877,0.802634287,0.349866228,32.18769294,3.416340811,51.67729986,48.32270014,10.00205804,75.03601564,14.96192632,58.79385965,0.657894737,0.109649123,37.06140351,3.311403509,51.73922555,48.26077445,10.50098447,75.10391599,14.39509954,27.34288864,27.96517954,0,0,0,23.10231023,12.60726073,30.41778144,20.62152706,35.48457668,26.07744476,1050,573,1478,1002,1622,1192,CA,4545,2884,335738,0,0.13,0,37.8022725,-122.4075581,6.8,62.3,0,0,27.9,0,1.7,1.2,36.54766,8.65914
6075010500,31,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,35,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,9,0,73,0,0,0,23,0,0,0,0,0,0,0,31,0,0,0,0,0,0,10,0,0,0,0,0,0,27,0,0,0,0,34,67,0,51,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,12,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,60,0,0.818013857,0.055166735,0.810387985,0.057885411,0,72,97,6,99,93,650,369,0,0,179,35,65,1570,1093,20,304,0,50,105,410,185,0,0,145,35,40,300,0,350,620,0,950,175,0,35,25,0,130,365,140,240,0,41.40127389,33.76029277,0,58.88157895,,70,61.90476191,26.11464968,16.92589204,0,47.69736842,,70,38.0952381,48.38709677,,36.84210526,23.24840764,16.01097896,0,42.7631579,,70,23.80952381,22.58064516,,25.2631579,0,24,142,41,14,41,105,67,90,0,0.990916598,5.862923204,1.692815855,0.578034682,1.692815855,4.335260116,2.766308836,3.715937242,1670,45,9,405,71,1796,43,2,252,63,1139,1139,109,1551,618,1046,1043,37,1492,560,51,29,75.32701849,2.029769959,0.405953992,18.26792964,3.202525936,50,50,4.784899034,68.08604039,27.12906058,83.10967145,1.989819528,0.092549746,11.66126793,2.915316983,50.07180469,49.92819531,1.771182384,71.42173289,26.80708473,11.30820399,7.090464548,0,0,0,22.97951583,4.990689013,27.08516242,4.916593503,17.56821446,4.021062709,617,134,617,112,367,84,CA,2685,1985,683666,494331,0.264,0.191,37.8026841,-122.3990586,5.7,76,0.5,0,13.1,0,1.9,3,37.26268,9.37447
6075010600,69,0,0,9,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,2032,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,1937,54,0,14,37,0,0,0,18,0,0,0,0,0,0,0,11,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,18,0,0,0,0,0,0,16,0,0,0,0,12,0,0,0,0,0,0,0.340177751,0.248281131,0.860978301,0.082890976,0.033745782,14,67,7,99,97,1275,340,45,0,705,170,10,1855,660,45,930,0,210,10,980,250,45,0,525,155,10,605,65,605,770,105,975,170,0,85,10,0,300,565,180,335,50,68.73315364,51.51515152,100,75.80645161,,80.95238095,100,52.83018868,37.87878788,100,56.4516129,,73.80952381,100,78.57142857,61.90476191,62.05128205,30.45822102,25.75757576,0,32.25806452,,40.47619048,100,23.37662338,47.61904762,34.35897436,0,317,282,134,68,245,324,99,413,0,8.041603247,7.153729072,3.399289701,1.725012684,6.215119229,8.219178082,2.511415525,10.47691527,1377,51,11,2680,131,1229,56,13,3098,138,2247,1971,470,3074,674,2397,2150,665,3162,720,246,312,32.18041599,1.191867259,0.257069409,62.63145595,3.061462959,53.27169275,46.72830726,11.14272167,72.8781413,15.97913703,27.02881021,1.231581262,0.285902793,68.13283484,3.034968111,52.71607653,47.28392347,14.62502749,69.54035628,15.83461623,31.8240621,41.10671937,0,0,0,57.24191063,55.39291217,50.21337127,43.00616406,61.22718276,52.60611392,2229,2157,2118,1814,2784,2392,CA,3894,2286,187222,0,0.072,0,37.7993784,-122.4063879,4.9,28.1,2.2,0,62.5,0,0,2.3,35.13767,7.47226
6075010700,55,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3740,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3446,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,8,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0.223500775,0.237155556,0.779107374,0.135861561,0.042689434,16,25,7,99,98,1945,275,30,0,1555,95,0,2720,515,100,1980,10,125,0,1570,135,30,0,1315,95,0,715,180,1060,1070,180,1485,65,0,35,0,0,450,550,165,390,0,71.50735294,53.39805825,30,78.53535354,0,76,,57.72058824,26.21359223,30,66.41414141,0,76,,66.82242991,100,71.38047138,20.22058824,12.62135922,0,22.72727273,0,28,,15.42056075,0,26.26262626,0,226,829,242,299,427,674,299,734,0,4.144507611,15.20264075,4.437924079,5.483220246,7.83055199,12.36016871,5.483220246,13.46048047,744,72,22,4638,136,676,24,9,4804,104,2610,3024,675,3162,1797,2558,3063,753,3121,1747,334,281,13.20553781,1.277955272,0.390486333,82.32161874,2.413915513,46.32587859,53.67412141,11.98083067,56.12353568,31.89563365,12.02419068,0.426894344,0.160085379,85.45001779,1.849875489,45.50791674,54.49208326,13.39619285,55.52392813,31.07987903,26.44497229,31.39664805,0,0,0,68.07939914,69.04506438,71.26375577,64.07525737,76.8546522,73.22540473,3807,3861,4015,3610,4320,4116,CA,5592,3025,183165,0,0.071,0,37.798514,-122.4100466,3.2,13.5,3,0.4,79.9,0,0,0,22.19435,6.90087
6075010800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302,0,0,0,0,0,0,113,0,13,0,0,0,0,0,0,0,0,15,33,0,16,0,19,13,0,17,0,46,18,0,0,0,0,0,0,0,0,0,0,0,0,16,52,0,0,0,0,0,0,0,0,0,17,17,0,1134,57,17,0,0,0,0,0,52,0,0,0,0,0,0,0,0,9,0,0,0,70,0,0,113,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,40,0,0.566107548,0.096577284,0.818981773,0.153318903,0.019706499,52,60,7,99,98,990,560,0,0,430,0,0,2460,1415,25,890,14,45,55,565,260,0,0,295,0,0,225,100,670,695,100,1665,245,0,0,0,0,145,390,120,255,0,40.24390244,39.57597173,0,48.31460674,0,0,0,22.96747968,18.3745583,0,33.14606742,0,0,0,32.37410072,100,40.24024024,15.85365854,17.31448763,0,16.29213483,0,0,0,17.26618705,0,15.31531532,0,314,324,114,96,180,472,178,383,0,6.670915658,6.883365201,2.421924793,2.039515615,3.824091778,10.02761844,3.78160187,8.136817506,2018,56,32,2865,132,1847,32,9,3295,108,2423,2707,550,3655,925,2485,2808,694,3768,831,284,285,39.33723197,1.091617934,0.623781676,55.84795322,2.573099415,47.23196881,52.76803119,10.72124756,71.24756335,18.03118908,34.88855308,0.604457877,0.170003778,62.24027201,2.040045334,46.9488003,53.0511997,13.11165691,71.18836199,15.69998111,27.8978389,26.83615819,0,0,0,39.38401049,31.19266055,44.89278752,38.88888889,46.66540714,39.41054223,1803,1428,2303,1995,2470,2086,CA,4578,2719,226074,0,0.087,0,37.7964984,-122.4142914,0.7,44.2,1.4,0.3,50.9,0,0,2.4,35.59853,7.9468
6075010900,40,9,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0,20,0,0,19,0,0,0,0,0,0,11,0,0,12,22,0,9,0,0,0,0,0,33,65,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,456,0,10,11,36,0,0,0,0,0,0,0,19,0,0,0,0,0,42,0,0,39,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,58,0,0,0,0,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,107,0,0.688484519,0.07416536,0.961872288,0.057271364,0.01171875,62,99,7,99,98,1015,675,0,30,235,45,15,2620,1845,0,555,30,115,65,475,380,0,10,80,0,0,230,25,755,770,25,1820,290,0,0,0,0,50,340,55,280,0,38.74045802,36.58536585,,42.34234234,100,39.13043478,23.07692308,18.12977099,20.59620596,,14.41441441,33.33333333,0,0,29.87012987,100,41.48351648,12.97709924,15.71815718,,9.009009009,0,0,0,7.142857143,0,15.38461539,9,128,225,53,96,159,206,140,214,0.194342475,2.763981861,4.858561866,1.14446124,2.072986396,3.433383718,4.448283308,3.023105161,4.621032175,3144,72,25,1016,194,2938,41,15,1363,187,2121,2377,230,3501,768,2071,2482,336,3497,721,34,173,69.89773233,1.600711427,0.555802579,22.58781681,4.313028012,47.1542908,52.8457092,5.113383726,77.83459315,17.07425523,64.51471234,0.900307422,0.329380764,29.9297321,4.106280193,45.47650417,54.50153711,7.378129117,76.78963549,15.8322354,18.57923497,24.22969188,0,0,0,23.95833333,12.82407407,25.47799022,17.34104046,26.59200703,20.02635046,1035,554,1146,780,1211,912,CA,4320,2891,249763,0,0.096,0,37.7980418,-122.4205531,5.2,63.1,1.3,3.4,23.7,0,0.5,2.8,37.17887,8.4222
6075011000,30,0,0,0,0,12,0,0,6,0,123,0,0,29,0,0,0,0,0,0,0,1451,55,15,0,0,0,0,0,107,0,20,0,0,0,104,0,0,0,0,0,0,0,0,0,6,0,0,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,123,0,0,0,0,0,980,170,67,0,26,0,0,0,0,50,0,0,0,0,0,0,0,20,0,12,305,39,0,133,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.413244116,0.136761105,0.845504941,0.064780539,0.01138088,37,77,6,99,98,1175,390,20,0,675,60,25,2580,1069,20,1204,0,260,25,685,160,20,0,435,35,25,519,130,530,914,130,1534,110,0,35,25,0,150,320,110,200,20,45.54263566,36.48269411,100,56.06312292,,23.07692308,100,26.5503876,14.96725912,100,36.12956811,,13.46153846,100,56.7833698,100,34.55019557,12.40310078,10.28999065,0,12.45847176,,13.46153846,100,12.03501094,15.38461539,13.03780965,0,142,239,118,46,184,134,79,175,0,2.80521533,4.721453971,2.331094429,0.908731727,3.634926906,2.64717503,1.560647965,3.457131569,1925,80,22,2849,141,1532,63,7,3592,152,2473,2564,469,3776,791,2616,2733,771,3848,729,242,380,38.20960699,1.587931719,0.436681223,56.55021834,2.798729655,49.09668453,50.90331547,9.311097876,74.9652571,15.70379194,28.64086745,1.177790241,0.130865582,67.15273883,2.841652645,48.91548242,51.10321616,14.41660434,71.95213164,13.63126402,27.94457275,35.58052435,0,0,0,52.35135695,40.43919619,43.65693865,35.77526305,53.19745699,48.24233358,2527,1952,2199,1802,2845,2580,CA,4827,2714,239937,0,0.093,0,37.7943823,-122.4198054,5.7,39.6,0.9,0,52.9,0,0,0.8,35.12419,8.06955
