USPS	GEOID	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                  
CA	06001400100	2937	1396	6882245	0	       2.657	       0.000	 37.8675947	-122.2319033                                                                                                                   
CA	06001400200	1974	915	595106	0	       0.230	       0.000	 37.8481710	-122.2495763                                                                                                                     
CA	06001400300	4865	2591	1105328	0	       0.427	       0.000	 37.8405983	-122.2544365                                                                                                                   
CA	06001400400	3703	1903	703688	0	       0.272	       0.000	 37.8482107	-122.2574628                                                                                                                    
CA	06001400500	3517	1684	588111	0	       0.227	       0.000	 37.8485167	-122.2647445                                                                                                                    
CA	06001400600	1571	757	297855	0	       0.115	       0.000	 37.8419909	-122.2648882                                                                                                                     
CA	06001400700	4206	1929	880513	0	       0.340	       0.000	 37.8417578	-122.2723135                                                                                                                    
CA	06001400800	3594	1733	695230	0	       0.268	       0.000	 37.8454493	-122.2833803                                                                                                                    
CA	06001400900	2302	1153	425163	0	       0.164	       0.000	 37.8394669	-122.2802437                                                                                                                    
CA	06001401000	5678	2658	1154123	0	       0.446	       0.000	 37.8312170	-122.2719625                                                                                                                   
CA	06001401100	4156	2147	886376	0	       0.342	       0.000	 37.8304835	-122.2638645                                                                                                                    
CA	06001401200	2416	1296	667273	0	       0.258	       0.000	 37.8305977	-122.2579072                                                                                                                    
CA	06001401300	3528	1839	855628	0	       0.330	       0.000	 37.8180997	-122.2667133                                                                                                                    
CA	06001401400	4314	1764	755873	0	       0.292	       0.000	 37.8207387	-122.2733758                                                                                                                    
CA	06001401500	2630	1244	467047	0	       0.180	       0.000	 37.8229232	-122.2806358                                                                                                                    
CA	06001401600	2163	919	636070	0	       0.246	       0.000	 37.8173716	-122.2814825                                                                                                                     
CA	06001401700	2667	1310	5802590	6131884	       2.240	       2.368	 37.8134257	-122.3193044                                                                                                             
CA	06001401800	1703	800	298697	0	       0.115	       0.000	 37.8095320	-122.2982360                                                                                                                     
CA	06001402200	2385	988	712761	0	       0.275	       0.000	 37.8063512	-122.2963076                                                                                                                     
CA	06001402400	2351	1168	337079	0	       0.130	       0.000	 37.8120310	-122.2824569                                                                                                                    
CA	06001402500	1784	747	365457	0	       0.141	       0.000	 37.8057305	-122.2847803                                                                                                                     
CA	06001402600	1151	656	318724	0	       0.123	       0.000	 37.8042711	-122.2799541                                                                                                                     
CA	06001402700	1569	731	398775	0	       0.154	       0.000	 37.8103872	-122.2769914                                                                                                                     
CA	06001402800	3345	2317	398356	0	       0.154	       0.000	 37.8087183	-122.2715003                                                                                                                    
CA	06001402900	1434	959	389352	0	       0.150	       0.000	 37.8071501	-122.2668100                                                                                                                     
CA	06001403000	2788	1732	353294	0	       0.136	       0.000	 37.8004265	-122.2707320                                                                                                                    
CA	06001403100	2238	751	346828	0	       0.134	       0.000	 37.8022742	-122.2755009                                                                                                                     
CA	06001403300	4054	2236	926037	96764	       0.358	       0.037	 37.7944308	-122.2663244                                                                                                                
CA	06001403400	4146	3071	660252	602433	       0.255	       0.233	 37.8047578	-122.2616693                                                                                                               
CA	06001403501	4374	2745	666690	0	       0.257	       0.000	 37.8177294	-122.2600769                                                                                                                    
CA	06001403502	1991	1296	182412	0	       0.070	       0.000	 37.8159606	-122.2569405                                                                                                                    
CA	06001403600	4482	2732	390100	0	       0.151	       0.000	 37.8135127	-122.2534920                                                                                                                    
CA	06001403701	2587	1915	173947	0	       0.067	       0.000	 37.8112134	-122.2586656                                                                                                                    
CA	06001403702	1724	1211	200813	0	       0.078	       0.000	 37.8095265	-122.2520804                                                                                                                    
CA	06001403800	3461	1975	656388	0	       0.253	       0.000	 37.8148343	-122.2416233                                                                                                                    
CA	06001403900	3584	2265	495325	0	       0.191	       0.000	 37.8171931	-122.2487541                                                                                                                    
CA	06001404000	2819	1831	371153	0	       0.143	       0.000	 37.8232774	-122.2536542                                                                                                                    
CA	06001404101	2929	1819	573662	0	       0.221	       0.000	 37.8300772	-122.2497952                                                                                                                    
CA	06001404102	2283	1706	230172	0	       0.089	       0.000	 37.8260219	-122.2510667                                                                                                                    
CA	06001404200	3483	1420	2728909	0	       1.054	       0.000	 37.8361078	-122.2344651                                                                                                                   
CA	06001404300	3218	1395	1830780	25272	       0.707	       0.010	 37.8451917	-122.2381008                                                                                                               
CA	06001404400	5314	2391	4124684	0	       1.593	       0.000	 37.8462442	-122.2150894                                                                                                                   
CA	06001404501	1677	710	1108548	5141	       0.428	       0.002	 37.8271275	-122.2171515                                                                                                                 
CA	06001404502	5784	2548	3071440	0	       1.186	       0.000	 37.8345259	-122.2026154                                                                                                                   
CA	06001404600	4353	1867	4887532	0	       1.887	       0.000	 37.8197458	-122.1910599                                                                                                                   
CA	06001404700	1954	825	1205965	0	       0.466	       0.000	 37.8133625	-122.2070119                                                                                                                    
CA	06001404800	2684	1288	628405	0	       0.243	       0.000	 37.8055076	-122.2131962                                                                                                                    
