tract,hh_type1_income_min,hh_type1_income_max,hh_type1_income,hh_type1_size,hh_type1_workers,hh_type1_ht,hh_type1_h,hh_type1_t,hh_type1_autos,hh_type1_vmt,hh_type1_transit_trips,hh_type1_ht_own,hh_type1_h_own,hh_type1_t_own,hh_type1_autos_own,hh_type1_vmt_own,hh_type1_transit_trips_own,hh_type1_ht_rent,hh_type1_h_rent,hh_type1_t_rent,hh_type1_autos_rent,hh_type1_vmt_rent,hh_type1_transit_trips_rent,hh_type2_income_min,hh_type2_income_max,hh_type2_income,hh_type2_size,hh_type2_workers,hh_type2_ht,hh_type2_h,hh_type2_t,hh_type2_autos,hh_type2_vmt,hh_type2_transit_trips,hh_type2_ht_own,hh_type2_h_own,hh_type2_t_own,hh_type2_autos_own,hh_type2_vmt_own,hh_type2_transit_trips_own,hh_type2_ht_rent,hh_type2_h_rent,hh_type2_t_rent,hh_type2_autos_rent,hh_type2_vmt_rent,hh_type2_transit_trips_rent,hh_type3_income_min,hh_type3_income_max,hh_type3_income,hh_type3_size,hh_type3_workers,hh_type3_ht,hh_type3_h,hh_type3_t,hh_type3_autos,hh_type3_vmt,hh_type3_transit_trips,hh_type3_ht_own,hh_type3_h_own,hh_type3_t_own,hh_type3_autos_own,hh_type3_vmt_own,hh_type3_transit_trips_own,hh_type3_ht_rent,hh_type3_h_rent,hh_type3_t_rent,hh_type3_autos_rent,hh_type3_vmt_rent,hh_type3_transit_trips_rent,hh_type4_income_min,hh_type4_income_max,hh_type4_income,hh_type4_size,hh_type4_workers,hh_type4_ht,hh_type4_h,hh_type4_t,hh_type4_autos,hh_type4_vmt,hh_type4_transit_trips,hh_type4_ht_own,hh_type4_h_own,hh_type4_t_own,hh_type4_autos_own,hh_type4_vmt_own,hh_type4_transit_trips_own,hh_type4_ht_rent,hh_type4_h_rent,hh_type4_t_rent,hh_type4_autos_rent,hh_type4_vmt_rent,hh_type4_transit_trips_rent,hh_type5_income_min,hh_type5_income_max,hh_type5_income,hh_type5_size,hh_type5_workers,hh_type5_ht,hh_type5_h,hh_type5_t,hh_type5_autos,hh_type5_vmt,hh_type5_transit_trips,hh_type5_ht_own,hh_type5_h_own,hh_type5_t_own,hh_type5_autos_own,hh_type5_vmt_own,hh_type5_transit_trips_own,hh_type5_ht_rent,hh_type5_h_rent,hh_type5_t_rent,hh_type5_autos_rent,hh_type5_vmt_rent,hh_type5_transit_trips_rent,hh_type6_income_min,hh_type6_income_max,hh_type6_income,hh_type6_size,hh_type6_workers,hh_type6_ht,hh_type6_h,hh_type6_t,hh_type6_autos,hh_type6_vmt,hh_type6_transit_trips,hh_type6_ht_own,hh_type6_h_own,hh_type6_t_own,hh_type6_autos_own,hh_type6_vmt_own,hh_type6_transit_trips_own,hh_type6_ht_rent,hh_type6_h_rent,hh_type6_t_rent,hh_type6_autos_rent,hh_type6_vmt_rent,hh_type6_transit_trips_rent,hh_type7_income_min,hh_type7_income_max,hh_type7_income,hh_type7_size,hh_type7_workers,hh_type7_ht,hh_type7_h,hh_type7_t,hh_type7_autos,hh_type7_vmt,hh_type7_transit_trips,hh_type7_ht_own,hh_type7_h_own,hh_type7_t_own,hh_type7_autos_own,hh_type7_vmt_own,hh_type7_transit_trips_own,hh_type7_ht_rent,hh_type7_h_rent,hh_type7_t_rent,hh_type7_autos_rent,hh_type7_vmt_rent,hh_type7_transit_trips_rent,hh_type8_income_min,hh_type8_income_max,hh_type8_income,hh_type8_size,hh_type8_workers,hh_type8_ht,hh_type8_h,hh_type8_t,hh_type8_autos,hh_type8_vmt,hh_type8_transit_trips,hh_type8_ht_own,hh_type8_h_own,hh_type8_t_own,hh_type8_autos_own,hh_type8_vmt_own,hh_type8_transit_trips_own,hh_type8_ht_rent,hh_type8_h_rent,hh_type8_t_rent,hh_type8_autos_rent,hh_type8_vmt_rent,hh_type8_transit_trips_rent
'06001400100',77183,77183,77183,2.65,1.19,47.28747,31.95903,15.32843,1.94773,20625.84,86.49794,49.37233,33.738,15.63433,2.01,20625.84,82.13873,38.65843,24.59609,14.06234,1.69,20625.84,104.54021,11720,11720,11720,1,1,227.9911,166.72816,61.26294,1.12692,16488.36,64.67164,241.24377,179.18089,62.06289,1.16,16488.36,54.13689,173.13975,115.18771,57.95204,0.99,16488.36,108.27378,29126,29126,29126,1,1,94.39093,66.7289,27.66203,1.31692,16786.44,44.50022,100.10857,72.10053,28.00804,1.35,16786.44,33.60221,70.72624,44.49633,26.22991,1.18,16786.44,89.60589,58251,58251,58251,1,1,49.38104,34.11466,15.26638,1.45886,17191.44,29.92917,51.48778,36.05088,15.4369,1.49,17191.44,18.66789,40.66146,26.10084,14.56062,1.33,17191.44,76.53836,61746,61746,61746,2,0,50.89737,39.78822,11.10915,1.50384,4299.48,101.74507,54.16963,42.65863,11.51099,1.57,4299.48,95.20626,37.35387,27.90788,9.44599,1.23,4299.48,128.80847,32200,32200,32200,3,1,93.5423,62.09904,31.44326,1.77189,18585.72,118.64708,97.39219,65.21739,32.1748,1.84,18585.72,115.74094,77.60804,49.19255,28.41549,1.49,18585.72,130.67526,61746,61746,61746,2.65,1.19,55.07989,36.26554,18.81435,1.90773,20297.52,91.73504,57.17251,37.97493,19.19758,1.97,20297.52,87.7391,46.41879,29.19055,17.22823,1.65,20297.52,108.27378,92620,92620,92620,4,2,45.45262,29.58964,15.86298,2.34578,27157.68,90.33242,45.82724,29.69553,16.13171,2.41,27157.68,89.60589,43.90211,29.15137,14.75074,2.08,27157.68,93.33947
'06001400200',77183,77183,77183,2.65,1.19,43.23431,30.1033,13.13101,1.6913,16250.39875,209.81679,46.78629,33.09135,13.69494,1.80462,16338.5082,193.53006,35.25233,23.38857,11.86376,1.43667,16052.4,246.4162,11720,11720,11720,1,1,202.82453,152.75695,50.06759,0.88442,13086.31391,192.04246,217.59477,165.67833,51.91644,0.95462,13197.4722,166.1847,169.633,123.72014,45.91286,0.72667,12836.52,250.14978,29126,29126,29126,1,1,83.45032,60.63886,22.81145,1.07198,13112.60014,172.65756,90.20975,66.66724,23.54251,1.13813,13207.1004,145.65002,68.26058,47.09195,21.16864,0.92333,12900.24,233.34867,58251,58251,58251,1,1,44.43664,31.81124,12.6254,1.21301,13148.63128,156.62298,47.91702,34.92074,12.99628,1.27813,13220.397,128.84891,36.61556,24.82361,11.79195,1.06667,12987.36,219.03662,61746,61746,61746,2,0,46.13647,37.13768,8.99879,1.24206,1976.17329,227.36289,51.61039,41.85032,9.76007,1.36462,2085.9696,207.25407,33.83552,26.54747,7.28805,0.96667,1729.44,272.55125,32200,32200,32200,3,1,84.4112,57.58121,26.82999,1.50899,14898.14657,242.14864,90.60578,62.38658,28.2192,1.63462,15026.9058,227.78875,70.49078,46.78261,23.70817,1.22667,14608.8,274.41804,61746,61746,61746,2.65,1.19,50.3922,34.32226,16.06994,1.64374,16082.80941,214.19632,54.01921,37.23431,16.78489,1.75813,16180.767,197.92012,42.24161,27.77832,14.46329,1.38667,15862.68,250.77204,92620,92620,92620,4,2,42.23854,28.37684,13.8617,2.08514,22093.64595,211.27233,43.49453,29.12762,14.36691,2.20462,22190.7654,199.78691,39.41608,26.6897,12.72638,1.81667,21875.4,237.08225
'06001400300',77183,77183,77183,2.65,1.19,40.66207,28.91199,11.75008,1.48722,14240.37248,300.66387,46.11443,33.22833,12.8861,1.71757,14484.55196,252.91599,35.96653,25.19478,10.77175,1.28884,14030.08657,341.78406,11720,11720,11720,1,1,155.20237,111.92243,43.27994,0.71746,11197.98303,290.07841,196.70144,149.45789,47.24355,0.8718,11437.1401,225.70357,119.46362,79.59712,39.8665,0.58454,10992.02239,345.51764,29126,29126,29126,1,1,68.88385,48.88008,20.00377,0.9045,11265.98406,270.84464,81.79331,60.1403,21.653,1.05541,11483.76915,205.16889,57.7663,39.18284,18.58346,0.77454,11078.42884,327.40421,58251,58251,58251,1,1,39.50004,28.31287,11.18717,1.04514,11358.04042,256.15734,46.54137,34.52195,12.01942,1.1918,11546.90142,188.60073,33.43609,22.96566,10.47043,0.91884,11195.39445,314.33668,61746,61746,61746,2,0,46.08644,38.71107,7.37537,1.0311,397.23301,320.98747,50.82661,41.99028,8.83633,1.27757,500.55847,266.77294,42.00423,35.88703,6.1172,0.81884,308.24973,367.67671,32200,32200,32200,3,1,75.09324,51.49826,23.59498,1.29768,12770.85363,330.91724,87.38868,61.02798,26.36071,1.5518,13064.64957,287.30762,64.50448,43.29133,21.21315,1.07884,12517.83833,368.47358,61746,61746,61746,2.65,1.19,48.48692,34.15398,14.33294,1.43917,14047.76439,305.16842,53.71447,37.94249,15.77197,1.6718,14304.55508,257.67194,43.98499,30.89133,13.09366,1.23884,13826.61779,346.0721,92620,92620,92620,4,2,39.30466,26.65787,12.6468,1.87843,19864.02082,298.47522,42.90695,29.23214,13.67481,2.1218,20169.85726,259.30578,36.2024,24.44092,11.76148,1.66884,19600.6363,332.20771
'06001400400',77183,77183,77183,2.65,1.19,39.16281,27.41638,11.74643,1.49303,14074.2,306.09074,46.3804,33.57998,12.80042,1.71423,14182.27896,258.03795,33.70906,22.75904,10.95002,1.32589,13992.5336,342.40029,11720,11720,11720,1,1,159.51393,116.16825,43.34569,0.72785,11020.01126,297.01565,181.77808,135.01212,46.76597,0.87113,11135.30454,231.32458,142.69074,101.92948,40.76126,0.61958,10932.8936,346.653,29126,29126,29126,1,1,68.02589,48.00422,20.02167,0.91354,11081.95949,277.93656,76.56114,55.13397,21.42717,1.05113,11189.83316,210.7899,61.5765,42.61685,18.95965,0.80958,11000.4482,328.67379,58251,58251,58251,1,1,39.5601,28.34518,11.21491,1.05714,11165.22893,263.26211,45.82498,33.89398,11.93099,1.19113,11263.06974,193.9888,34.82624,24.15241,10.67383,0.95589,11091.29865,315.60627,61746,61746,61746,2,0,40.3737,32.99038,7.38332,1.03594,283.23418,327.15608,51.23833,42.47029,8.76805,1.27423,314.549,272.39395,32.16419,25.82719,6.337,0.85589,259.57213,368.53534,32200,32200,32200,3,1,75.25988,51.66203,23.59785,1.30322,12636.6768,336.68219,85.951,59.76268,26.18831,1.55113,12758.60208,292.92863,67.18149,45.54104,21.64045,1.11589,12544.54787,369.74316,61746,61746,61746,2.65,1.19,46.00273,31.66542,14.33732,1.446,13886.05306,311.06685,53.47952,37.79843,15.68109,1.67113,13998.42067,263.06,40.35314,27.0312,13.32194,1.27589,13801.14607,347.34168,92620,92620,92620,4,2,40.69402,28.06276,12.63126,1.88164,19691.81741,303.73908,43.13477,29.55931,13.57546,2.11423,19816.89993,264.92679,38.84974,26.93194,11.9178,1.70589,19597.30281,333.06634
'06001400500',77183,77183,77183,2.65,1.19,41.00672,29.56183,11.4449,1.43613,13844.06714,330.27703,46.21352,33.6858,12.52772,1.66871,13923.72323,270.82398,37.15772,26.51327,10.64445,1.2642,13785.18325,374.2263,11720,11720,11720,1,1,134.86225,92.8639,41.99835,0.67522,10926.68798,320.97273,152.38897,106.89634,45.49263,0.82871,11003.80682,243.37185,121.90604,82.49075,39.41529,0.56176,10869.67969,378.33736,29126,29126,29126,1,1,61.75467,42.31486,19.43981,0.86097,10988.51626,301.7735,67.75686,46.87012,20.88674,1.00871,11062.69668,222.83717,57.31769,38.94749,18.3702,0.75176,10933.68013,360.12533,58251,58251,58251,1,1,37.85884,26.93831,10.92053,1.00672,11072.28351,287.01828,44.12857,32.47847,11.65011,1.14871,11142.4165,206.41556,33.22409,22.84289,10.3812,0.90176,11020.43934,346.60194,61746,61746,61746,2,0,43.86387,36.84043,7.02344,0.98323,26.0737,351.09161,51.011,42.59339,8.41761,1.22871,31.80269,284.44122,38.58053,32.5877,5.99283,0.80176,21.83867,400.36135,32200,32200,32200,3,1,71.76073,48.79613,22.96461,1.25173,12353.62872,360.29865,82.13437,56.556,25.57837,1.50871,12436.49704,304.9759,64.09227,43.05983,21.03244,1.06176,12292.37025,401.1947,61746,61746,61746,2.65,1.19,48.99055,34.99586,13.99468,1.39473,13654.96147,334.8847,53.26578,37.908,15.35778,1.62871,13736.40861,275.48677,45.83019,32.84314,12.98705,1.22176,13594.75359,378.79323,92620,92620,92620,4,2,38.78338,26.39038,12.393,1.83111,19400.81878,327.52428,43.00222,29.64671,13.35552,2.07374,19499.73901,276.97406,35.6647,23.98322,11.68148,1.65176,19327.69432,364.89235
'06001400600',77183,77183,77183,2.65,1.19,38.04905,26.57004,11.47901,1.46504,13609.90887,302.90455,45.46299,32.96169,12.5013,1.68935,13680.7265,234.56849,33.20551,22.39436,10.81114,1.31849,13563.64358,347.54863,11720,11720,11720,1,1,123.86792,82.00182,41.8661,0.70301,10589.90071,294.54528,127.2803,82.43762,44.84268,0.84329,10648.0748,207.69885,121.6386,81.71711,39.92149,0.61137,10551.89547,351.28221,29126,29126,29126,1,1,62.11545,42.64654,19.4689,0.89146,10686.67087,275.01722,66.60251,45.86546,20.73706,1.02935,10746.01949,186.03196,59.18404,40.54362,18.64041,0.80137,10647.8983,333.15146,58251,58251,58251,1,1,37.89465,26.93091,10.96373,1.0375,10816.89638,260.59687,43.37928,31.77751,11.60177,1.16935,10877.83408,170.36306,34.31153,23.76463,10.5469,0.95137,10777.08566,319.54679,61746,61746,61746,2,0,38.9797,31.84041,7.13929,1.00689,121.35903,323.51913,50.17776,41.67646,8.5013,1.24935,144.91884,248.76822,31.66398,25.41449,6.24948,0.84849,105.96736,372.35404,32200,32200,32200,3,1,71.86092,48.96267,22.89825,1.27414,12050.29027,332.76253,80.7167,55.33314,25.38356,1.52329,12122.76606,269.3029,66.07542,44.80083,21.27459,1.11137,12002.9417,374.22083,61746,61746,61746,2.65,1.19,44.7387,30.74215,13.99655,1.41833,13401.14996,307.08552,52.36274,37.08291,15.27983,1.64329,13471.27668,239.43427,39.75791,26.59972,13.15819,1.27137,13355.33604,351.28221,92620,92620,92620,4,2,38.20032,25.79197,12.40835,1.85623,19187.17524,299.11505,42.34296,29.01208,13.33088,2.09329,19261.58556,241.30106,35.49393,23.68827,11.80566,1.70137,19138.56283,336.88504
'06001400700',77183,77183,77183,2.65,1.19,39.46479,28.30261,11.16217,1.42957,13382.29922,260.46805,43.45775,30.9742,12.48355,1.71629,13546.53257,170.7617,37.82887,27.20806,10.62081,1.31211,13315.01298,297.22065,11720,11720,11720,1,1,145.18844,105.29059,39.89785,0.68104,10089.62199,255.6671,202.02288,158.05008,43.9728,0.86629,10229.44922,143.74659,121.90343,83.67508,38.22835,0.60514,10032.33492,301.52082,29126,29126,29126,1,1,64.86014,46.08349,18.77665,0.87338,10275.80925,236.16989,84.09151,63.59771,20.4938,1.05469,10404.24171,122.22518,56.98107,38.90793,18.07314,0.7991,10223.1906,282.85293,58251,58251,58251,1,1,36.28468,25.64792,10.63676,1.01655,10528.37103,222.30406,45.39278,33.89304,11.49974,1.19084,10641.53314,106.4108,32.5531,22.2699,10.2832,0.94514,10482.00863,269.78541,61746,61746,61746,2,0,42.26773,35.49251,6.77522,0.97044,0,282.69347,47.5856,39.1103,8.4753,1.27629,0,184.81596,40.089,34.0103,6.0787,0.84514,0,322.7938,32200,32200,32200,3,1,69.3448,47.31566,22.02914,1.23335,11678.51594,289.66681,85.54192,60.34704,25.19488,1.54629,11873.74482,205.35064,62.70886,41.97672,20.73213,1.10514,11598.53087,324.21106,61746,61746,61746,2.65,1.19,47.97116,34.39449,13.57666,1.38173,13120.42804,264.89033,50.54995,35.33224,15.21771,1.66629,13291.44539,175.48201,46.91463,34.0103,12.90433,1.26514,13050.36241,301.52082,92620,92620,92620,4,2,36.07687,23.95318,12.12369,1.81754,18936.39011,255.36262,40.38165,27.07717,13.30448,2.11629,19151.26751,177.3488,34.31321,22.67329,11.63992,1.69514,18848.35505,287.3248
'06001400800',77183,77183,77183,2.65,1.19,39.33975,28.32228,11.01747,1.40338,13092.25548,294.04788,45.03494,33.0257,12.00924,1.62819,12930.46875,240.36163,36.92361,26.32689,10.59672,1.30801,13160.89227,316.82386,11720,11720,11720,1,1,147.70366,108.2177,39.48596,0.65331,10070.37096,288.32835,206.48602,164.26819,42.21783,0.78366,10071.72321,212.35979,122.76568,84.4387,38.32698,0.59801,10069.79727,320.55744,29126,29126,29126,1,1,67.40284,48.81162,18.59122,0.84681,10230.58723,269.96456,85.7503,66.09982,19.65049,0.96819,10198.40143,191.82511,59.61906,41.47723,18.14183,0.79531,10244.24182,303.11462,58251,58251,58251,1,1,37.83147,27.31867,10.5128,0.9887,10446.64181,255.31448,45.43598,34.38666,11.04933,1.10819,10368.80518,175.14485,34.60531,24.32012,10.28518,0.93801,10479.66341,289.32584,61746,61746,61746,2,0,41.69874,35.02261,6.67613,0.94232,0,316.29047,49.84039,41.7607,8.07969,1.18819,0,253.42916,38.24471,32.16403,6.08068,0.83801,0,342.95891,32200,32200,32200,3,1,72.18976,50.46892,21.72084,1.20712,11402.36569,323.26735,85.61885,61.36724,24.25162,1.46431,11304.85179,273.96384,66.49256,45.84539,20.64717,1.09801,11443.73523,344.18399,61746,61746,61746,2.65,1.19,47.29043,33.89166,13.39876,1.35521,12846.00399,298.47529,51.83337,37.16033,14.67304,1.58431,12704.09304,245.23695,45.36312,32.50496,12.85816,1.25801,12906.20864,321.06126,92620,92620,92620,4,2,37.76248,25.80544,11.95704,1.78934,18470.54777,289.16245,41.90587,29.06727,12.8386,2.02819,18215.27036,245.962,36.00467,24.42163,11.58304,1.68801,18578.84727,307.48991
'06001400900',77183,77183,77183,2.65,1.19,39.92283,28.50776,11.41507,1.44202,13627.46279,328.45902,45.6583,33.33884,12.31946,1.63968,13637.6175,277.44293,36.15729,25.33599,10.8213,1.31225,13620.79587,361.95287,11720,11720,11720,1,1,136.90783,95.26317,41.64466,0.6808,10643.23453,319.76047,159.23936,115.18771,44.05165,0.79164,10729.9175,249.8084,122.2464,82.18202,40.06439,0.60802,10586.32413,365.68645,29126,29126,29126,1,1,61.85389,42.53137,19.32252,0.86683,10722.36583,300.68325,66.78929,46.51581,20.27348,0.97164,10778.4375,228.90641,58.61363,39.91545,18.69818,0.79802,10685.55283,347.80726,58251,58251,58251,1,1,37.72817,26.87565,10.85253,1.00939,10829.1927,286.39974,43.47703,32.1469,11.33013,1.11164,10843.7625,213.97209,33.95385,23.41488,10.53896,0.94225,10819.62711,333.95103,61746,61746,61746,2,0,42.17406,35.15834,7.01572,0.98391,0,349.56059,50.39892,42.15968,8.23924,1.19968,0,290.87776,36.77415,30.56172,6.21243,0.84225,0,388.08792,32200,32200,32200,3,1,71.57967,48.81389,22.76578,1.24865,12093.99655,359.42032,81.00265,55.96351,25.03914,1.47164,12163.755,312.91193,65.39316,44.11992,21.27324,1.10225,12048.19769,389.95471,61746,61746,61746,2.65,1.19,47.52288,33.61817,13.90471,1.3928,13428.78341,332.93247,52.56189,37.51071,15.05119,1.59164,13457.04,283.0433,44.2146,31.06258,13.15201,1.26225,13410.23198,365.68645,92620,92620,92620,4,2,37.28049,24.92751,12.35298,1.83072,19235.556,325.78386,42.52422,29.34484,13.17937,2.04164,19251.5975,284.91009,33.83779,22.02737,11.81042,1.69225,19225.02419,352.61893
'06001401000',77183,77183,77183,2.65,1.19,38.60102,27.33352,11.2675,1.44219,13395.08942,281.0954,45.44353,33.00395,12.43958,1.69566,13493.71191,210.35697,34.80788,24.19012,10.61776,1.30167,13340.41826,320.3091,11720,11720,11720,1,1,135.03594,94.4951,40.54084,0.68582,10252.70434,273.91136,155.39881,111.20382,44.19499,0.84947,10347.99353,183.4784,123.74782,85.23265,38.51517,0.5951,10199.88098,324.04268,29126,29126,29126,1,1,61.61937,42.65148,18.9679,0.8745,10399.2407,255.01583,71.21201,50.73004,20.48197,1.03259,10485.56382,162.65775,56.30171,38.17314,18.12857,0.78686,10351.38766,306.21433,58251,58251,58251,1,1,37.65374,26.94728,10.70646,1.01668,10597.13795,240.65183,45.09081,33.61467,11.47614,1.17002,10671.32779,146.43087,33.53101,23.25122,10.27979,0.93167,10556.01098,292.88302,61746,61746,61746,2,0,40.69366,33.79327,6.9004,0.98288,0,302.78459,50.06964,41.63187,8.43777,1.25566,0,224.54777,35.49611,29.44796,6.04816,0.83167,0,346.155,32200,32200,32200,3,1,71.29968,48.96728,22.33239,1.24781,11760.18089,310.8343,83.97661,58.7837,25.19291,1.52947,11880.96221,245.08245,64.27224,43.52557,20.74667,1.09167,11693.22603,347.2837,61746,61746,61746,2.65,1.19,46.44659,32.73517,13.71142,1.39354,13156.90269,285.70281,53.20291,38.00799,15.19492,1.64947,13260.72706,215.50208,42.70123,29.81219,12.88904,1.25167,13099.34788,324.61844,92620,92620,92620,4,2,35.83354,23.63146,12.20209,1.82932,18910.49177,277.59109,41.98058,28.72617,13.25441,2.09566,19033.18809,217.36886,32.42595,20.80721,11.61874,1.68167,18842.47533,310.97515
