tract_id,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races
6075010100,6.3,43.4,14.0,0.0,34.1,0.7,0.0,1.5
6075010200,11.5,76.3,1.0,0.0,9.2,0.0,0.0,2.0
6075010300,5.6,55.9,2.2,0.0,33.7,0.0,0.0,2.6
6075010400,6.8,62.3,0.0,0.0,27.9,0.0,1.7,1.2
6075010500,5.7,76.0,0.5,0.0,13.1,0.0,1.9,3.0
6075010600,4.9,28.1,2.2,0.0,62.5,0.0,0.0,2.3
6075010700,3.2,13.5,3.0,0.4,79.9,0.0,0.0,0.0
6075010800,0.7,44.2,1.4,0.3,50.9,0.0,0.0,2.4
6075010900,5.2,63.1,1.3,3.4,23.7,0.0,0.5,2.8
6075011000,5.7,39.6,0.9,0.0,52.9,0.0,0.0,0.8
6075011100,6.9,45.7,2.4,0.4,40.5,0.0,0.5,3.7
6075011200,4.7,52.8,0.4,0.0,39.0,0.0,0.0,3.1
6075011300,0.6,7.9,1.1,0.2,89.9,0.0,0.0,0.4
6075011700,5.8,30.4,14.3,0.0,41.5,0.0,0.0,8.0
6075011800,1.8,2.4,0.0,0.0,95.8,0.0,0.0,0.0
6075011901,9.9,53.4,1.1,0.0,30.0,0.0,0.7,4.9
6075011902,19.1,49.7,2.3,0.0,25.1,1.2,0.8,1.8
6075012000,10.6,48.6,3.3,0.0,32.0,0.0,1.7,3.8
6075012100,9.6,54.4,1.8,0.7,30.1,0.4,0.0,3.0
6075012201,32.0,30.2,5.4,0.0,30.5,0.0,0.0,1.9
6075012202,16.9,33.1,8.8,0.0,37.1,0.0,0.0,4.1
6075012301,22.9,21.5,14.6,0.3,36.8,0.0,0.0,4.0
6075012302,7.6,47.3,14.1,4.9,23.6,0.0,0.0,2.4
6075012401,43.3,22.3,4.4,0.1,26.0,0.4,0.0,3.3
6075012402,14.2,44.8,7.8,0.0,26.1,0.3,1.0,5.8
6075012501,16.4,33.8,15.7,1.7,29.2,0.6,0.0,2.6
6075012502,6.9,25.4,15.5,0.0,48.5,1.2,0.0,2.4
6075012601,5.4,84.1,0.0,1.3,6.4,0.0,0.0,2.9
6075012602,4.5,85.5,0.0,0.0,7.2,0.0,0.0,2.9
6075012700,5.9,81.9,0.0,0.0,11.4,0.0,0.0,0.7
6075012800,4.3,78.0,3.1,0.5,10.0,0.0,0.0,4.1
