tractid,latitude,longitude,zip code,pct_bachelors,labor_part_rate,pct_welfare,low_pov_idx,labor_idx,env_health_idx,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,housing_cost,transportation_cost,pub_school_score,pr_school_score,rest_score,rest_proximity,crime_index
6075010100,37.8084198,-122.4085794,94133,55.5555556,82.1470704,3.1064413,30,85,9,6.3,43.4,14.0,0.0,34.1,0.7,0.0,1.5,31.94666,8.74157,36.5183862315,9.46873971656,90.601886,43.44439113,10.89680232
6075010200,37.8058607,-122.4229252,94133,77.9701652,87.8312413,0.5076142,80,98,6,11.5,76.3,1.0,0.0,9.2,0.0,0.0,2.0,34.50678,9.07783,34.8004035404,16.6729839559,90.29536977,29.99723228,11.07754592
6075010300,37.8016201,-122.4156811,94133,59.2803598,80.1427644,0.7598784,37,78,8,5.6,55.9,2.2,0.0,33.7,0.0,0.0,2.6,36.98725,8.89138,72.3807624848,28.9397852872,90.45767739,61.81220227,21.61333747
6075010400,37.8022725,-122.4075581,94133,69.550355,88.2547014,1.0118044,78,96,7,6.8,62.3,0.0,0.0,27.9,0.0,1.7,1.2,36.54766,8.65914,73.0254578174,22.8454032448,90.65270153,70.64895029,21.11964998
6075010500,37.8026841,-122.3990586,94111,81.8013857,81.0387985,0.0,72,97,6,5.7,76.0,0.5,0.0,13.1,0.0,1.9,3.0,37.26268,9.37447,31.8358348095,6.70243554575,90.87339832,61.75278536,12.41342962
6075010600,37.7993784,-122.4063879,94133,34.0177751,86.0978301,3.3745782,14,67,7,4.9,28.1,2.2,0.0,62.5,0.0,0.0,2.3,35.13767,7.47226,80.7957355621,27.5441951608,90.69706386,81.97155947,27.92422251
6075010700,37.798514,-122.4100466,94133,22.3500775,77.9107374,4.2689434,16,25,7,3.2,13.5,3.0,0.4,79.9,0.0,0.0,0.0,22.19435,6.90087,92.3795566798,36.2610789731,90.60645546,82.74977631,32.16120857
6075010800,37.7964984,-122.4142914,94133,56.6107548,81.8981773,1.9706499,52,60,7,0.7,44.2,1.4,0.3,50.9,0.0,0.0,2.4,35.59853,7.9468,94.6300858449,43.7387742384,90.5088443,81.14811831,38.04511866
6075010900,37.7980418,-122.4205531,94109,68.8484519,96.1872288,1.171875,62,99,7,5.2,63.1,1.3,3.4,23.7,0.0,0.5,2.8,37.17887,8.4222,75.3300835386,41.7870902629,90.3588559,58.85173959,25.53071088
6075011000,37.7943823,-122.4198054,94109,41.3244116,84.5504941,1.138088,37,77,6,5.7,39.6,0.9,0.0,52.9,0.0,0.0,0.8,35.12419,8.06955,88.621768532,52.0373292634,90.38725582,69.06080573,38.38850507
