,tractid,pct_bachelors,poverty_rate,labor_part_rate,pct_unemploy,pct_welfare,low_pov_idx,labor_idx,env_health_idx,trans_cost_idx,trips_idx,latitude,longitude,hispanic,white,black,american_indian,asian,pac_islander,other_races,two_races,housing_cost,transportation_cost,pub_school_score,pr_school_score,rest_score,rest_proximity
0,6075010100,0.555555556,0.163194444,0.821470704,0.061270125,0.031064413,30,85,9,99,96,37.8084198,-122.4085794,6.3,43.4,14,0,34.1,0.7,0,1.5,31.94666,8.74157,0.153325696,0.193721505,90.601886,43.44439113
1,6075010200,0.779701652,0.042543021,0.878312413,0.054775281,0.005076142,80,98,6,99,97,37.8058607,-122.4229252,11.5,76.3,1,0,9.2,0,0,2,34.50678,9.07783,0.153296691,0.193940365,90.29536977,29.99723228
2,6075010300,0.592803598,0.136756126,0.801427644,0.092908608,0.007598784,37,78,8,99,97,37.8016201,-122.4156811,5.6,55.9,2.2,0,33.7,0,0,2.6,36.98725,8.89138,0.153324922,0.193061337,90.45767739,61.81220227
3,6075010400,0.69550355,0.044776119,0.882547014,0.06463621,0.010118044,78,96,7,99,97,37.8022725,-122.4075581,6.8,62.3,0,0,27.9,0,1.7,1.2,36.54766,8.65914,0.153343303,0.193098848,90.65270153,70.64895029
4,6075010500,0.818013857,0.055166735,0.810387985,0.057885411,0,72,97,6,99,93,37.8026841,-122.3990586,5.7,76,0.5,0,13.1,0,1.9,3,37.26268,9.37447,0.153363204,0.193138497,90.87339832,61.75278536
5,6075010600,0.340177751,0.248281131,0.860978301,0.082890976,0.033745782,14,67,7,99,97,37.7993784,-122.4063879,4.9,28.1,2.2,0,62.5,0,0,2.3,35.13767,7.47226,0.153353289,0.193108593,90.69706386,81.97155947
6,6075010700,0.223500775,0.237155556,0.779107374,0.135861561,0.042689434,16,25,7,99,98,37.798514,-122.4100466,3.2,13.5,3,0.4,79.9,0,0,0,22.19435,6.90087,0.15334641,0.193092524,90.60645546,82.74977631
7,6075010800,0.566107548,0.096577284,0.818981773,0.153318903,0.019706499,52,60,7,99,98,37.7964984,-122.4142914,0.7,44.2,1.4,0.3,50.9,0,0,2.4,35.59853,7.9468,0.153340918,0.193075354,90.5088443,81.14811831
8,6075010900,0.688484519,0.07416536,0.961872288,0.057271364,0.01171875,62,99,7,99,98,37.7980418,-122.4205531,5.2,63.1,1.3,3.4,23.7,0,0.5,2.8,37.17887,8.4222,0.153321725,0.193043468,90.3588559,58.85173959
9,6075011000,0.413244116,0.136761105,0.845504941,0.064780539,0.01138088,37,77,6,99,98,37.7943823,-122.4198054,5.7,39.6,0.9,0,52.9,0,0,0.8,35.12419,8.06955,0.153332552,0.193052321,90.38725582,69.06080573
10,6075011100,0.515428289,0.08813487,0.824303163,0.047586905,0.011305616,56,86,6,99,98,37.7907445,-122.419076,6.9,45.7,2.4,0.4,40.5,0,0.5,3.7,35.43498,7.73256,0.15334328,0.193061055,90.41888531,75.70260793
11,6075011200,0.562169778,0.14202454,0.829935125,0.052173913,0,35,89,7,99,97,37.7929713,-122.4127333,4.7,52.8,0.4,0,39,0,0,3.1,38.2131,8.41709,0.153353413,0.193087852,90.56343522,91.60463567
12,6075011300,0.158972579,0.266609638,0.833136095,0.182327318,0.033728919,12,17,6,99,98,37.7946971,-122.4093492,0.6,7.9,1.1,0.2,89.9,0,0,0.4,29.00188,7.12183,0.1533575,0.193101369,90.64287151,93.91384052
13,6075011700,0.338511856,0.267313019,0.650047939,0.051841746,0.076004343,12,38,3,99,89,37.7904674,-122.4034859,5.8,30.4,14.3,0,41.5,0,0,8,23.93053,9.29543,0.153382313,0.193135276,90.82938751,100
14,6075011800,0.112737921,0.307648725,0.816598361,0.149301826,0.014556041,9,19,3,99,97,37.7933506,-122.4061645,1.8,2.4,0,0,95.8,0,0,0,21.83982,7.36459,0.153368642,0.193118405,90.73609135,98.12957955
15,6075011901,0.580720093,0.042542787,0.869402985,0.079442509,0.009776536,80,89,13,99,99,37.7904728,-122.4139142,9.9,53.4,1.1,0,30,0,0.7,4.9,32.01671,7.15056,0.153356645,0.193085889,90.54571634,91.33539136
16,6075011902,0.517165493,0.092585478,0.844422701,0.010303688,0.006060606,54,94,12,99,99,37.7909959,-122.4098067,19.1,49.7,2.3,0,25.1,1.2,0.8,1.8,29.75895,7.27926,0.153365464,0.193104578,90.65033728,98.71505024
17,6075012000,0.446748682,0.178423237,0.776416539,0.103506548,0.034510759,26,56,5,99,99,37.7879651,-122.4185205,10.6,48.6,3.3,0,32,0,1.7,3.8,31.38547,6.30507,0.153351473,0.19306772,90.44560994,78.05603912
18,6075012100,0.534989648,0.10538411,0.800687285,0.107425743,0,48,68,6,99,99,37.7888066,-122.4118881,9.6,54.4,1.8,0.7,30.1,0.4,0,3,33.93631,6.78081,0.153365721,0.193097901,90.60715732,96.14583521
19,6075012201,0.28554607,0.257848071,0.809403597,0.098888889,0.056464812,13,47,10,99,99,37.7858464,-122.4163535,32,30.2,5.4,0,30.5,0,0,1.9,26.58603,6.46607,0.153362008,0.193081055,90.50996163,83.56498218
20,6075012202,0.299835255,0.220950704,0.725391499,0.065837601,0.015111695,18,43,14,99,98,37.7854142,-122.4196438,16.9,33.1,8.8,0,37.1,0,0,4.1,27.20806,6.30864,0.153354976,0.193066105,90.43376986,72.74445242
21,6075012301,0.268672757,0.302915082,0.674894217,0.02374894,0.045614035,9,44,13,99,99,37.7859203,-122.4107461,22.9,21.5,14.6,0.3,36.8,0,0,4,16.24188,6.64725,0.15337562,0.193107499,90.65496443,96.41254323
22,6075012302,0.464640561,0.133885102,0.71375694,0.171837709,0.08821788,38,26,12,99,99,37.7870223,-122.412097,7.6,47.3,14.1,4.9,23.6,0,0,2.4,27.20806,6.55538,0.15336959,0.193099502,90.61201041,95.06052781
23,6075012401,0.125432254,0.161913317,0.734154292,0.03493095,0.038237739,30,37,11,99,99,37.7830511,-122.415789,43.3,22.3,4.4,0.1,26,0.4,0,3.3,20.539,6.33387,0.153370263,0.193087786,90.54187739,81.321694
24,6075012402,0.350020517,0.242883549,0.633009709,0.104933982,0.060524906,15,22,14,99,97,37.780125,-122.4177669,14.2,44.8,7.8,0,26.1,0.3,1,5.8,22.34899,7.28465,0.153372586,0.193082668,90.51454507,70.136567
25,6075012501,0.214079422,0.399325774,0.503696402,0.282852564,0.122470161,4,1,10,99,98,37.783016,-122.4109765,16.4,33.8,15.7,1.7,29.2,0.6,0,2.6,19.39721,6.51308,0.153382188,0.193110625,90.66797882,91.48323207
26,6075012502,0.176954733,0.393195944,0.485078994,0.177325581,0.125283704,4,2,14,99,99,37.783933,-122.4125954,6.9,25.4,15.5,0,48.5,1.2,0,2.4,15.85067,5.53193,0.153375953,0.193101628,90.61829618,90.3713915
27,6075012601,0.864738806,0.027550581,0.878113408,0.068689182,0.012676056,88,99,15,99,97,37.8022695,-122.4391478,5.4,84.1,0,1.3,6.4,0,0,2.9,35.37972,9.1541,0.153265616,0.192949319,90.05144938,13.68379205
28,6075012602,0.828699552,0.052371917,0.885068762,0.016189962,0.00852459,74,99,12,98,94,37.806476,-122.4356807,4.5,85.5,0,0,7.2,0,0,2.9,34.17123,10.45066,0.153263812,0.192959622,90.09517057,12.73884985
29,6075012700,0.769204507,0.07525587,0.930019881,0.0578883,0.013267813,62,99,4,99,96,37.8049898,-122.4447181,5.9,81.9,0,0,11.4,0,0,0.7,36.26586,9.7143,0.153245242,0.192919012,90.00541211,8.200101082
30,6075012800,0.786456787,0.0385,0.908356742,0.05773913,0,82,99,4,99,96,37.7978099,-122.4417466,4.3,78,3.1,0.5,10,0,0,4.1,36.29063,10.02573,0.153270178,0.192943492,90.02191748,14.9478391
