,Unnamed: 0,tractid,latitude,longitude,rest_score,rest_proximity
0,0,6075010100,37.8084198,-122.4085794,90.6018859978,43.4443911252
1,1,6075010200,37.8058607,-122.4229252,90.2953697745,29.9972322837
2,2,6075010300,37.8016201,-122.4156811,90.457677392,61.8122022747
3,3,6075010400,37.8022725,-122.4075581,90.6527015255,70.6489502874
4,4,6075010500,37.8026841,-122.3990586,90.8733983221,61.752785364
5,5,6075010600,37.7993784,-122.4063879,90.6970638642,81.9715594737
6,6,6075010700,37.798514,-122.4100466,90.6064554604,82.7497763109
7,7,6075010800,37.7964984,-122.4142914,90.5088443032,81.148118305
8,8,6075010900,37.7980418,-122.4205531,90.358855895,58.8517395898
9,9,6075011000,37.7943823,-122.4198054,90.3872558168,69.0608057289
10,10,6075011100,37.7907445,-122.419076,90.4188853051,75.7026079293
11,11,6075011200,37.7929713,-122.4127333,90.5634352155,91.6046356725
12,12,6075011300,37.7946971,-122.4093492,90.6428715085,93.9138405231
13,13,6075011700,37.7904674,-122.4034859,90.8293875136,100.0
14,14,6075011800,37.7933506,-122.4061645,90.7360913512,98.1295795505
15,15,6075011901,37.7904728,-122.4139142,90.5457163363,91.3353913616
16,16,6075011902,37.7909959,-122.4098067,90.6503372833,98.715050235
17,17,6075012000,37.7879651,-122.4185205,90.445609939,78.0560391225
18,18,6075012100,37.7888066,-122.4118881,90.6071573243,96.1458352055
19,19,6075012201,37.7858464,-122.4163535,90.5099616345,83.5649821766
20,20,6075012202,37.7854142,-122.4196438,90.4337698558,72.7444524164
21,21,6075012301,37.7859203,-122.4107461,90.6549644324,96.4125432302
22,22,6075012302,37.7870223,-122.412097,90.6120104106,95.0605278076
23,23,6075012401,37.7830511,-122.415789,90.541877391,81.3216940025
24,24,6075012402,37.780125,-122.4177669,90.5145450725,70.1365669954
25,25,6075012501,37.783016,-122.4109765,90.6679788201,91.4832320675
26,26,6075012502,37.783933,-122.4125954,90.6182961819,90.3713914957
27,27,6075012601,37.8022695,-122.4391478,90.0514493816,13.6837920493
28,28,6075012602,37.806476,-122.4356807,90.0951705732,12.7388498483
29,29,6075012700,37.8049898,-122.4447181,90.0054121112,8.20010108213
30,30,6075012800,37.7978099,-122.4417466,90.0219174772,14.9478391023
31,31,6075012901,37.8019611,-122.427246,90.2194286819,29.5129064896
32,32,6075012902,37.8006155,-122.4321032,90.1413622116,22.3878109981
33,33,6075013000,37.7972449,-122.4305121,90.1704430759,29.4610568276
34,34,6075013101,37.7937758,-122.4247493,90.2842766298,51.9515334985
35,35,6075013102,37.7926193,-122.4274293,90.2364359558,43.6663467266
36,36,6075013200,37.7936676,-122.4387455,90.059229443,20.4081588075
37,37,6075013300,37.7887307,-122.4524293,89.8839948149,13.7262672309
38,38,6075013400,37.789849,-122.440799,90.0409274842,20.6296767811
39,39,6075013500,37.7908976,-122.4325551,90.1540970275,30.4937788664
40,40,6075015100,37.7874457,-122.4234011,90.3390852285,60.4414525713
41,41,6075015200,37.7879139,-122.4302666,90.204543974,37.1872700601
42,42,6075015300,37.7867618,-122.4393346,90.0698657146,23.2984389268
43,43,6075015400,37.7843608,-122.4510358,89.8944087296,15.6629219683
44,44,6075015500,37.7850923,-122.434135,90.1549625652,29.9787269066
45,45,6075015600,37.7782427,-122.4564254,89.7362653031,14.6364771922
46,46,6075015700,37.7789154,-122.4480069,89.9510049828,17.4692241306
47,47,6075015801,37.7813029,-122.4373557,90.1268544667,26.2267079383
48,48,6075015802,37.778079,-122.4385023,90.1302920694,24.5209422777
49,49,6075015900,37.78334,-122.4293428,90.2469313703,39.3977237752
50,50,6075016000,37.7823363,-122.4224838,90.3901756055,59.7901540843
51,51,6075016100,37.7799831,-122.4286631,90.2841221667,39.3847521041
52,52,6075016200,37.777158,-122.4228856,90.4237985928,50.64244292
53,53,6075016300,37.7760456,-122.4295509,90.3033926161,35.4546329858
54,54,6075016400,37.7750995,-122.4369729,90.1814003634,25.3953627093
55,55,6075016500,37.7741958,-122.4477884,89.9646220167,16.7969057189
