"business_id","date","description"
10,"20140729","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 8/7/2014 ]"
10,"20140729","Insufficient hot water or running water  [ date violation corrected: 8/7/2014 ]"
10,"20140114","Unclean or degraded floors walls or ceilings  [ date violation corrected: 1/24/2014 ]"
10,"20140114","Improper storage of equipment utensils or linens  [ date violation corrected: 1/24/2014 ]"
10,"20140114","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 1/24/2014 ]"
19,"20141110","Improper storage of equipment utensils or linens"
19,"20141110","Inadequate food safety knowledge or lack of certified food safety manager"
19,"20140214","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 2/14/2014 ]"
19,"20140214","Permit license or inspection report not posted  [ date violation corrected: 11/10/2014 ]"
19,"20130904","Foods not protected from contamination  [ date violation corrected: 9/4/2013 ]"
24,"20160311","Unclean or degraded floors walls or ceilings"
24,"20160311","Unclean or degraded floors walls or ceilings  [ date violation corrected: 3/11/2016 ]"
24,"20141124","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 3/11/2016 ]"
24,"20140612","Improper storage of equipment utensils or linens  [ date violation corrected: 11/24/2014 ]"
24,"20140612","Permit license or inspection report not posted  [ date violation corrected: 11/24/2014 ]"
31,"20151204","Food safety certificate or food handler card not available"
45,"20160104","Inadequate food safety knowledge or lack of certified food safety manager"
45,"20160104","Unclean or degraded floors walls or ceilings"
45,"20160104","Unapproved or unmaintained equipment or utensils"
45,"20160104","Unclean nonfood contact surfaces"
45,"20160104","Inadequately cleaned or sanitized food contact surfaces"
45,"20160104","Employee eating or smoking"
45,"20160104","Inadequate and inaccessible handwashing facilities"
45,"20140909","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 12/28/2015 ]"
45,"20140909","Improper storage of equipment utensils or linens  [ date violation corrected: 12/28/2015 ]"
45,"20140909","Unclean or degraded floors walls or ceilings  [ date violation corrected: 12/28/2015 ]"
45,"20131209","Food safety certificate or food handler card not available  [ date violation corrected: 9/1/2014 ]"
45,"20131209","Moderate risk food holding temperature   [ date violation corrected: 12/9/2013 ]"
48,"20140523","Unclean nonfood contact surfaces"
48,"20140523","Foods not protected from contamination"
48,"20140523","Low risk vermin infestation"
48,"20131101","Unclean nonfood contact surfaces  [ date violation corrected: 5/23/2014 ]"
48,"20131101","Improper storage use or identification of toxic substances  [ date violation corrected: 5/23/2014 ]"
48,"20131101","Wiping cloths not clean or properly stored or inadequate sanitizer  [ date violation corrected: 5/23/2014 ]"
48,"20131101","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 5/23/2014 ]"
54,"20140325","Inadequate sewage or wastewater disposal  [ date violation corrected: 5/26/2015 ]"
54,"20140325","Moderate risk food holding temperature   [ date violation corrected: 5/26/2015 ]"
54,"20131008","Moderate risk food holding temperature   [ date violation corrected: 3/10/2014 ]"
56,"20151222","Moderate risk food holding temperature   [ date violation corrected: 12/30/2015 ]"
56,"20151222","Inadequately cleaned or sanitized food contact surfaces  [ date violation corrected: 12/30/2015 ]"
56,"20151222","Foods not protected from contamination  [ date violation corrected: 12/30/2015 ]"
56,"20141117","Permit license or inspection report not posted  [ date violation corrected: 12/22/2015 ]"
56,"20131021","Unapproved or unmaintained equipment or utensils  [ date violation corrected: 4/23/2014 ]"
56,"20131021","Improper storage of equipment utensils or linens  [ date violation corrected: 4/23/2014 ]"
56,"20131021","Unclean or degraded floors walls or ceilings  [ date violation corrected: 4/23/2014 ]"
58,"20160407","Unclean or unsanitary food contact surfaces  [ date violation corrected: 4/7/2016 ]"
58,"20160407","Inadequate ventilation or lighting"
58,"20160407","No thermometers or uncalibrated thermometers "
58,"20160407","Low risk vermin infestation"
58,"20160407","High risk food holding temperature   [ date violation corrected: 4/7/2016 ]"
58,"20160407","Improper cooling methods  [ date violation corrected: 4/7/2016 ]"
58,"20140725","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 8/5/2014 ]"
58,"20140725","High risk vermin infestation  [ date violation corrected: 8/5/2014 ]"
58,"20140725","Moderate risk food holding temperature   [ date violation corrected: 8/5/2014 ]"
58,"20140725","Unclean or unsanitary food contact surfaces  [ date violation corrected: 8/5/2014 ]"
58,"20131001","Moderate risk vermin infestation  [ date violation corrected: 10/11/2013 ]"
58,"20131001","Inadequate and inaccessible handwashing facilities  [ date violation corrected: 10/11/2013 ]"
58,"20131001","Inadequate food safety knowledge or lack of certified food safety manager  [ date violation corrected: 10/11/2013 ]"
58,"20131001","Moderate risk food holding temperature   [ date violation corrected: 10/11/2013 ]"
