FACILITY_I,the_geom,FACILITY_N,DEPTNAME,DEPT,SCHOOL_TYP
3185,POINT (-122.49938854722042 37.73733034833979),Ulloa Elementary School,SF Unified School District (SFUSD),7,Elementary
3094,POINT (-122.41102161796302 37.8043602619867),FRANCISCO MIDDLE SCHOOL,SF Unified School District (SFUSD),7,Middle School
3095,POINT (-122.41659653582938 37.8018995875981),Yick Wo Elementary School,SF Unified School District (SFUSD),7,Elementary
3096,POINT (-122.40653202333976 37.80193503658627),Garfield Elementary School,SF Unified School District (SFUSD),7,Elementary
3102,POINT (-122.41105311939859 37.79764323203004),"Parker, Jean Elementary School",SF Unified School District (SFUSD),7,Elementary
3104,POINT (-122.41880011993204 37.794020021343805),Spring Valley Elementary School,SF Unified School District (SFUSD),7,Elementary
3106,POINT (-122.40405779333318 37.79476824429191),Chinese Education Center Elementary School,SF Unified School District (SFUSD),7,Elementary
3112,POINT (-122.43604686599346 37.801679935112084),Marina Middle School,SF Unified School District (SFUSD),7,Middle School
3113,POINT (-122.43456148192378 37.7993632710095),Tule Elk Park Early Education School,SF Unified School District (SFUSD),7,Early Education
3115,POINT (-122.42611796687414 37.79780159364936),Sherman Elementary School,SF Unified School District (SFUSD),7,Elementary
3119,POINT (-122.41924339137266 37.78957754848094),Redding Elementary School,SF Unified School District (SFUSD),7,Elementary
3122,POINT (-122.43749698138376 37.78315100707361),Gateway High School,SF Unified School District (SFUSD),7,Charter School
3125,POINT (-122.42004011316662 37.783687589424936),HARVEY MILK CHILDREN CENTER,SF Unified School District (SFUSD),7,Early Education
3126,POINT (-122.43592717931027 37.77934657306637),Creative Arts Charter School,SF Unified School District (SFUSD),7,Charter School
3127,POINT (-122.42731505935488 37.78062766296217),"LAGUNA GOLDEN GATE CHILD CARE CENTER,  PRE-K SCHOOL",SF Unified School District (SFUSD),7,Early Education
3131,POINT (-122.42878722381754 37.77372369630451),"Muir, John Elementary School",SF Unified School District (SFUSD),7,Elementary
3137,POINT (-122.43962657598038 37.78770183625308),"Cobb, Dr. William L. Elementary School",SF Unified School District (SFUSD),7,Elementary
3138,POINT (-122.45835614854656 37.78228528830954),"Roosevelt, Theodore Middle School",SF Unified School District (SFUSD),7,Middle School
3140,POINT (-122.44675749042764 37.77984810772526),"Wallenberg, Raoul High School",SF Unified School District (SFUSD),7,High School
3141,POINT (-122.45026689817244 37.77388542788435),New Traditions Elementary School,SF Unified School District (SFUSD),7,Elementary
3146,POINT (-122.45044870085844 37.76369766608013),Grattan Elementary School,SF Unified School District (SFUSD),7,Elementary
3149,POINT (-122.48226338624615 37.783000781499204),Alamo Elementary School,SF Unified School District (SFUSD),7,Elementary
3151,POINT (-122.47145160709916 37.783603441387015),Sutro Elementary School,SF Unified School District (SFUSD),7,Elementary
3152,POINT (-122.46502461269294 37.783854467336795),"Peabody, George Elementary School",SF Unified School District (SFUSD),7,Elementary
3155,POINT (-122.48962711141621 37.780864737072896),Presidio Middle School,SF Unified School District (SFUSD),7,Middle School
3157,POINT (-122.49102297327734 37.77787767988502),"Washington, George High School",SF Unified School District (SFUSD),7,High School
3158,POINT (-122.4968760765705 37.77705609519772),Lafayette Elementary School,SF Unified School District (SFUSD),7,Elementary
3161,POINT (-122.48386809911324 37.77552384865241),S.F. County Special Education School,SF Unified School District (SFUSD),7,County School
3162,POINT (-122.47632885555801 37.7753369713285),Argonne Elementary School,SF Unified School District (SFUSD),7,Elementary
3163,POINT (-122.46423203379584 37.776304678097375),"McCoppin, Frank Elementary School",SF Unified School District (SFUSD),7,Elementary
